Type,Category,Question,Best Answer,Correct Answers,Incorrect Answers
OpenBookQA,OpenBookQA,Decomposition?,can act as a fertilizer for wild flowers.,can act as a fertilizer for wild flowers.,can make dead organisms rise anew like a phoenix.; is a process completed by predators.; is extremely detrimental to the surrounding flora.
OpenBookQA,OpenBookQA,Sunlight?,makes car steering wheels hard to handle in the summer.,makes car steering wheels hard to handle in the summer.,means your pets need sweaters when outdoors.; causes ice to refreeze.; cools down the water in local ponds.
OpenBookQA,OpenBookQA,Science fact: a cavern is formed by carbonic acid in groundwater seeping through rock and dissolving?,"sedimentary rock which is  composed mainly of skeletal fragments of marine organisms such as coral, forams and molluscs,.","sedimentary rock which is  composed mainly of skeletal fragments of marine organisms such as coral, forams and molluscs,.","metamorphic rocks that are formed under the surface of the earth from the metamorphosis,.; igneous rocks which are formed when magma  cools and hardens or.; artist who play the music genre called rock and roll."
OpenBookQA,OpenBookQA,Deer entered the city?,less food in the wilderness.,less food in the wilderness.,to look for people.; because coyotes chased them.; they have become confused.
OpenBookQA,OpenBookQA,the hourly totals of sunshine are directly connect to?,seasons.,seasons.,tides.; altitude.; weather.
OpenBookQA,OpenBookQA,Remora fish?,act as a clean up crew for a shark's crumbs.,act as a clean up crew for a shark's crumbs.,attach themselves to boats like barnacles.; act as a support system during a shark's reproduction cycle.; are exclusively kelp and seaweed eaters.
OpenBookQA,OpenBookQA,A plant root growing into rock cracks is an example of what?,abrasion.,abrasion.,boiling.; warm weather.; evaporation.
OpenBookQA,OpenBookQA,What does the earth orbit that causes the seasons to change?,plasma star.,plasma star.,venus.; mercury.; pluto.
OpenBookQA,OpenBookQA,There are metals which will always point north such as?,Fe.,Fe.,nickel.; gold.; silver.
OpenBookQA,OpenBookQA,A white environment is likely to be found?,on a mountain.,on a mountain.,in a forest.; in a desert.; in the ocean.
OpenBookQA,OpenBookQA,One step in creating an alternative fuel is?,growing crops of corn.,growing crops of corn.,coal miners looking for coal.; gold being sifted from dirt.; drilling for fossil fuels.
OpenBookQA,OpenBookQA,"So many environments receive large amounts of rain, though an exception is?",the Sahara.,the Sahara.,the great plains.; the rain-forest.; Seattle.
OpenBookQA,OpenBookQA,Taking a fingernail and pressing it to salt will show?,it is malleable.,it is malleable.,it is dry.; it is wet.; it is salty.
OpenBookQA,OpenBookQA,why would a mouse run away from a cat?,to avoid becoming lunch.,to avoid becoming lunch.,to get the cat some milk.; to avoid paying its debt.; all of these.
OpenBookQA,OpenBookQA,A golden eagle will hunt using its talons to collect?,groupers.,groupers.,berries.; bears.; humans.
OpenBookQA,OpenBookQA,which of these would most likely reject a really nice burger?,a potted plant in the office.,a potted plant in the office.,a hungry student who loves burgers.; a woman visiting a fast food joint.; a teacher on his lunch break.
OpenBookQA,OpenBookQA,The Grand Canyon was formed by the Colorado river by what?,the passage of time.,the passage of time.,horses pulling carts directing the water.; humans making great efforts.; the addition of dams.
OpenBookQA,OpenBookQA,Earth rotating on its axis?,causes Orion to seemingly change position in the sky.,causes Orion to seemingly change position in the sky.,causes stars to die out.; causes the moon to loss gravitational pull.; causes the Sun to rotate.
OpenBookQA,OpenBookQA,The next moon phase after a solar eclipse is?,first quarter.,first quarter.,full moon.; third quarter.; super moon.
OpenBookQA,OpenBookQA,"If someone is dying of thirst, they can hydrate by?",catching rain.,catching rain.,drink acid.; visiting a valley.; find snow.
OpenBookQA,OpenBookQA,Magnets may be attracted to?,roofing nails.,roofing nails.,clay pots.; paper plates.; plastic cutlery.
OpenBookQA,OpenBookQA,"Of the following household items, which is recyclable?",soda can.,soda can.,cooking oil.; banana peel.; paint.
OpenBookQA,OpenBookQA,"If a lot of people have forgotten about a product, the amount of money made by the person selling it will be?",lower than before.,lower than before.,much higher.; unchanged.; rising slowly.
OpenBookQA,OpenBookQA,What can you find in a forest?,remedies.,remedies.,A car.; Hogwarts.; A unicorn.
OpenBookQA,OpenBookQA,Animals without teeth sometimes eat?,seeds.,seeds.,bears.; humans.; whales.
OpenBookQA,OpenBookQA,What creates a valley?,water.,water.,feet.; rock.; sand.
OpenBookQA,OpenBookQA,What is the largest organ of the human body?,epidermis.,epidermis.,kidneys.; the heart.; liver.
OpenBookQA,OpenBookQA,What eats other organisms?,ingestors.,ingestors.,trees.; blood.; water.
OpenBookQA,OpenBookQA,What becomes smoother through weathering?,pumice.,pumice.,rainbow.; water.; cat.
OpenBookQA,OpenBookQA,The element that heats toast is an example of:?,a thermal conductor.,a thermal conductor.,a semi-conductor?.; a thermal insulator.; a poor conductor.
OpenBookQA,OpenBookQA,Ice can fall down as?,sleet and hail.,sleet and hail.,ice cubes.; rain.; glaciers.
OpenBookQA,OpenBookQA,nest sitting is left up to the?,the embryo's creator.,the embryo's creator.,daddy.; strangers.; male siblings.
OpenBookQA,OpenBookQA,The insect's cocoon being created occurs during the?,stage when wings first start to form.,stage when wings first start to form.,adult stage in a life cycle.; egg formation in a life cycle.; final stage in a life cycle.
OpenBookQA,OpenBookQA,Rocks sometimes contain what?,element Al.,element Al.,books.; wind.; fire.
OpenBookQA,OpenBookQA,What happens to a cat's fur in the summer?,It becomes less dense.,It becomes less dense.,The fur becomes darker.; The fur becomes more dense.; It stays the same density.
OpenBookQA,OpenBookQA,After evaporation water becomes?,snow.,snow.,ocean.; groundwater.; ice caps.
OpenBookQA,OpenBookQA,A magnet will stick to which of the following?,indium.,indium.,diamond.; wood.; hydrochloric acid.
OpenBookQA,OpenBookQA,Hypothermia will set in under which conditions:?,while exposed to harsh winds in a polar region.,while exposed to harsh winds in a polar region.,while stranded deep in a swap.; while swimming in tropical seas.; while exposed to direct sunlight on a tropical island.
OpenBookQA,OpenBookQA,"A black wall reflects little light, a pink wall reflects pink light a while wall?",bounces all light.,bounces all light.,bounces little light.; bounces blue light.; bounces red light.
OpenBookQA,OpenBookQA,Rocks may be rounded by?,hydro-erosion.,hydro-erosion.,photosynthesis.; audio feedback.; Cloudy conditions.
OpenBookQA,OpenBookQA,What do octopuses release to blind predators?,dark pigment.,dark pigment.,meat.; water.; plants.
OpenBookQA,OpenBookQA,Which decreases visibility while driving?,spraying windshield fluid.,spraying windshield fluid.,opening the sunroof.; adjusting side mirrors.; turning on headlights.
OpenBookQA,OpenBookQA,What contains moons?,space mass.,space mass.,ships.; people.; plants.
OpenBookQA,OpenBookQA,What would be used to measure the substance which historically the Dutch and other farmers used to power the blades on the structure which moves water from low to highlands?,anemometer.,anemometer.,magnetometer.; manometer.; thermometer.
OpenBookQA,OpenBookQA,What is it called when h20 falls from a fluffy object to land on the top of cloth suspended on a rod?,precipitation.,precipitation.,mechanization.; evaporation.; transpiration.
OpenBookQA,OpenBookQA,What animal can live without oxygen?,Loriciferans.,Loriciferans.,shark.; platypus.; Turtle.
OpenBookQA,OpenBookQA,An inherited characteristic present in a baby is?,number of ears.,number of ears.,birth date.; birth weight.; number of siblings.
OpenBookQA,OpenBookQA,"if your shoe changes form at a certain heat level, what can that be described as?",the melting range of that item.,the melting range of that item.,none of these.; the liquid content of the shoe.; the visual design of the shoe.
OpenBookQA,OpenBookQA,Which would be the product of a solid that was brought above its melting point?,glacier turning into water.,glacier turning into water.,water turning into ice.; iron turning to rust.; tadpoles turning into frogs.
OpenBookQA,OpenBookQA,"A beaver is going to experience a long winter in the upcoming months. The beaver knows that the weather is changing, so it begins to eat more and more food, knowing that it can survive meager months by being?",overweight.,overweight.,weighted.; underweight.; starved.
OpenBookQA,OpenBookQA,Lighting a candle will cause the candle to?,combust.,combust.,petrify.; float.; yell.
OpenBookQA,OpenBookQA,Vaccines?,help prevent outbreaks of once dormant diseases.,help prevent outbreaks of once dormant diseases.,are only necessary for immuno-comprised people.; provide little protection against diseases.; are unimportant and under researched.
OpenBookQA,OpenBookQA,Jim wanted baby chickens so he gathered eggs and used a?,lamp.,lamp.,ice cube.; refrigerator.; snow.
